[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.005s][info][gc       ] Using G1
[0.419s][info][metaspace] Reserving compressed class space anywhere
[0.419s][info][gc,metaspace] CDS archive(s) not mapped
[0.419s][info][gc,metaspace] Compressed class space mapped at: 0x00007ffedb000000-0x00007fff9b000000, reserved size: 3221225472
[0.419s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, Use2c0 0narrow klass pointer bits 22, max shift 10
[0.419s][info][gc,metaspace] Narrow klass base: 0x00007ffedb000000, Narrow klass shift: 10, Narrow klass range: 0xc0000000
Num Classes: 512
Num Objects per Class: 131072
Cycles: 100
Class association: random
Generate 512 classes...[1.352s][info][gc,metaspace] GC(0) Metaspace: 22076K(22464K)->22076K(22464K) NonClass: 18265K(18496K)->18265K(18496K) Class: 3811K(3968K)->3811K(3968K)
[34.817s][info][gc          ] GC(74) Pause Full (System.gc()) 775M->775M(6144M) 396.361ms
[35.176s][info][gc,metaspace] GC(75) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[35.176s][info][gc          ] GC(75) Pause Full (System.gc()) 775M->775M(6144M) 358.314ms
[35.556s][info][gc,metaspace] GC(76) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[35.556s][info][gc          ] GC(76) Pause Full (System.gc()) 775M->775M(6144M) 380.230ms
[35.949s][info][gc,metaspace] GC(77) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[35.949s][info][gc          ] GC(77) Pause Full (System.gc()) 775M->775M(6144M) 392.797ms
[36.307s][info][gc,metaspace] GC(78) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[36.307s][info][gc          ] GC(78) Pause Full (System.gc()) 775M->775M(6144M) 358.642ms
[36.694s][info][gc,metaspace] GC(79) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[36.694s][info][gc          ] GC(79) Pause Full (System.gc()) 775M->775M(6144M) 386.656ms
[37.058s][info][gc,metaspace] GC(80) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[37.058s][info][gc          ] GC(80) Pause Full (System.gc()) 775M->775M(6144M) 364.300ms
