Done; will start GCs... 
[213.536s][info][gc          ] GC(69) Pause Full (System.gc()) 171M->171M(4088M) 1388.481ms
[214.900s][info][gc,metaspace] GC(70) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[214.901s][info][gc          ] GC(70) Pause Full (System.gc()) 171M->171M(4088M) 1364.032ms
[216.695s][info][gc,metaspace] GC(71) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[216.696s][info][gc          ] GC(71) Pause Full (System.gc()) 171M->171M(4088M) 1794.661ms
[218.828s][info][gc,metaspace] GC(72) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[218.829s][info][gc          ] GC(72) Pause Full (System.gc()) 171M->171M(4088M) 2132.379ms
[220.160s][info][gc,metaspace] GC(73) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[220.160s][info][gc          ] GC(73) Pause Full (System.gc()) 171M->171M(4088M) 1331.126ms
[221.532s][info][gc,metaspace] GC(74) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[221.532s][info][gc          ] GC(74) Pause Full (System.gc()) 171M->171M(4088M) 1371.597ms
[223.330s][info][gc,metaspace] GC(75) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[223.330s][info][gc          ] GC(75) Pause Full (System.gc()) 171M->171M(4088M) 1797.960ms
[225.522s][info][gc,metaspace] GC(76) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[225.522s][info][gc          ] GC(76) Pause Full (System.gc()) 171M->171M(4088M) 2191.211ms
[226.892s][info][gc,metaspace] GC(77) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[226.892s][info][gc          ] GC(77) Pause Full (System.gc()) 171M->171M(4088M) 1369.878ms
[228.273s][info][gc,metaspace] GC(78) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[228.273s][info][gc          ] GC(78) Pause Full (System.gc()) 171M->171M(4088M) 1380.720ms
[230.435s][info][gc,metaspace] GC(79) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[230.436s][info][gc          ] GC(79) Pause Full (System.gc()) 171M->171M(4088M) 2162.138ms
[232.291s][info][gc,metaspace] GC(80) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[232.291s][info][gc          ] GC(80) Pause Full (System.gc()) 171M->171M(4088M) 1855.131ms
[233.660s][info][gc,metaspace] GC(81) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[233.660s][info][gc          ] GC(81) Pause Full (System.gc()) 171M->171M(4088M) 1368.694ms
[235.006s][info][gc,metaspace] GC(82) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[235.007s][info][gc          ] GC(82) Pause Full (System.gc()) 171M->171M(4088M) 1345.859ms
[236.612s][info][gc,metaspace] GC(83) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[236.612s][info][gc          ] GC(83) Pause Full (System.gc()) 171M->171M(4088M) 1605.120ms
[239.004s][info][gc,metaspace] GC(84) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[239.004s][info][gc          ] GC(84) Pause Full (System.gc()) 171M->171M(4088M) 2391.552ms
[240.359s][info][gc,metaspace] GC(85) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[240.359s][info][gc          ] GC(85) Pause Full (System.gc()) 171M->171M(4088M) 1354.489ms
[241.695s][info][gc,metaspace] GC(86) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[241.695s][info][gc          ] GC(86) Pause Full (System.gc()) 171M->171M(4088M) 1335.868ms
[244.307s][info][gc,metaspace] GC(87) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[244.307s][info][gc          ] GC(87) Pause Full (System.gc()) 171M->171M(4088M) 2611.348ms
[245.679s][info][gc,metaspace] GC(88) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[245.679s][info][gc          ] GC(88) Pause Full (System.gc()) 171M->171M(4088M) 1371.677ms
[247.044s][info][gc,metaspace] GC(89) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[247.045s][info][gc          ] GC(89) Pause Full (System.gc()) 171M->171M(4088M) 1365.661ms
[249.661s][info][gc,metaspace] GC(90) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[249.661s][info][gc          ] GC(90) Pause Full (System.gc()) 171M->171M(4088M) 2615.507ms
[251.021s][info][gc,metaspace] GC(91) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[251.021s][info][gc          ] GC(91) Pause Full (System.gc()) 171M->171M(4088M) 1359.926ms
[252.371s][info][gc,metaspace] GC(92) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[252.372s][info][gc          ] GC(92) Pause Full (System.gc()) 171M->171M(4088M) 1350.174ms
[255.031s][info][gc,metaspace] GC(93) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[255.031s][info][gc          ] GC(93) Pause Full (System.gc()) 171M->171M(4088M) 2658.977ms
[256.374s][info][gc,metaspace] GC(94) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[256.374s][info][gc          ] GC(94) Pause Full (System.gc()) 171M->171M(4088M) 1343.031ms
[257.732s][info][gc,metaspace] GC(95) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[257.732s][info][gc          ] GC(95) Pause Full (System.gc()) 171M->171M(4088M) 1357.308ms
[260.348s][info][gc,metaspace] GC(96) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[260.348s][info][gc          ] GC(96) Pause Full (System.gc()) 171M->171M(4088M) 2616.038ms
[261.713s][info][gc,metaspace] GC(97) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[261.713s][info][gc          ] GC(97) Pause Full (System.gc()) 171M->171M(4088M) 1364.458ms
[263.055s][info][gc,metaspace] GC(98) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[263.055s][info][gc          ] GC(98) Pause Full (System.gc()) 176M->171M(4088M) 1342.204ms
[265.702s][info][gc,metaspace] GC(99) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[265.702s][info][gc          ] GC(99) Pause Full (System.gc()) 171M->171M(4088M) 2646.380ms
[267.050s][info][gc,metaspace] GC(100) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[267.050s][info][gc          ] GC(100) Pause Full (System.gc()) 171M->171M(4088M) 1347.387ms
[268.385s][info][gc,metaspace] GC(101) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[268.385s][info][gc          ] GC(101) Pause Full (System.gc()) 171M->171M(4088M) 1335.079ms
[271.017s][info][gc,metaspace] GC(102) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[271.017s][info][gc          ] GC(102) Pause Full (System.gc()) 171M->171M(4088M) 2631.652ms
[272.389s][info][gc,metaspace] GC(103) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[272.389s][info][gc          ] GC(103) Pause Full (System.gc()) 171M->171M(4088M) 1371.582ms
[273.791s][info][gc,metaspace] GC(104) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[273.791s][info][gc          ] GC(104) Pause Full (System.gc()) 171M->171M(4088M) 1401.873ms
