[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.003s][info][gc       ] Using G1
[0.436s][info][metaspace] Reserving compressed class space anywhere
[0.436s][info][gc,metaspace] CDS archive(s) not mapped
[0.436s][info][gc,metaspace] Compressed class space mapped at: 0x000000003e000000-0x00000000fe000000, reserved size: 3221225472
[0.436s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, UseKlassTable 1, narrow klass pointer bits 22, max shift 10
[0.436s][info][gc,metaspace] Narrow klass base: 0x000000003e000000, Narrow klass shift: 10, Narrow klass range: 0xc0000000
Num Classes: 4096
Num Objects per Class: 16384
Cycles: 100
Class association: random
[49.468s][info][gc,metaspace] GC(39) Metaspace: 40830K(42432K)->40830K(42432K) NonClass: 40830K(42432K)->40830K(42432K) Class: 0K(0K)->0K(0K)
[49.468s][info][gc          ] GC(39) Pause Full (System.gc()) 782M->782M(6144M) 533.560ms
[50.017s][info][gc,metaspace] GC(40) Metaspace: 40830K(42432K)->40830K(42432K) NonClass: 40830K(42432K)->40830K(42432K) Class: 0K(0K)->0K(0K)
[50.017s][info][gc          ] GC(40) Pause Full (System.gc()) 782M->782M(6144M) 549.167ms
[50.576s][info][gc,metaspace] GC(41) Metaspace: 40830K(42432K)->40830K(42432K) NonClass: 40830K(42432K)->40830K(42432K) Class: 0K(0K)->0K(0K)
[50.576s][info][gc          ] GC(41) Pause Full (System.gc()) 782M->782M(6144M) 559.111ms
[51.124s][info][gc,metaspace] GC(42) Metaspace: 40830K(42432K)->40830K(42432K) NonClass: 40830K(42432K)->40830K(42432K) Class: 0K(0K)->0K(0K)
[51.124s][info][gc          ] GC(42) Pause Full (System.gc()) 782M->782M(6144M) 548.022ms
[51.649s][info][gc,metaspace] GC(43) Metaspace: 40830K(42432K)->40830K(42432K) NonClass: 40830K(42432K)->40830K(42432K) Class: 0K(0K)->0K(0K)
[51.649s][info][gc          ] GC(43) Pause Full (System.gc()) 782M->782M(6144M) 524.109ms
[52.168s][info][gc,metaspace] GC(44) Metaspace: 40830K(42432K)->40830K(42432K) NonClass: 40830K(42432K)->40830K(42432K) Class: 0K(0K)->0K(0K)
[52.168s][info][gc          ] GC(44) Pause Full (System.gc()) 782M->782M(6144M) 518.821ms
[52.709s][info][gc,metaspace] GC(45) Metaspace: 40830K(42432K)->40830K(42432K) NonClass: 40830K(42432K)->40830K(42432K) Class: 0K(0K)->0K(0K)
[52.710s][info][gc          ] GC(45) Pause Full (System.gc()) 782M->782M(6144M) 541.800ms
[53.232s][info][gc,metaspace] GC(46) Metaspace: 40830K(42432K)->40830K(42432K) NonClass: 40830K(42432K)->40830K(42432K) Class: 0K(0K)->0K(0K)
[53.232s][info][gc          ] GC(46) Pause Full (System.gc()) 782M->782M(6144M) 517.688ms
[53.776s][info][gc,metaspace] GC(47) Metaspace: 40830K(42432K)->40830K(42432K) NonClass: 40830K(42432K)->40830K(42432K) Class: 0K(0K)->0K(0K)
