Done; will start GCs... 
[596.208s][info][gc          ] GC(113) Pause Full (System.gc()) 195M->195M(3959M) 5265.814ms
[601.471s][info][gc,metaspace] GC(114) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[601.472s][info][gc          ] GC(114) Pause Full (System.gc()) 195M->195M(3959M) 5263.316ms
[606.737s][info][gc,metaspace] GC(115) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[606.737s][info][gc          ] GC(115) Pause Full (System.gc()) 195M->195M(3959M) 5264.459ms
[611.993s][info][gc,metaspace] GC(116) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[611.993s][info][gc          ] GC(116) Pause Full (System.gc()) 195M->195M(3959M) 5255.649ms
[617.263s][info][gc,metaspace] GC(117) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[617.263s][info][gc          ] GC(117) Pause Full (System.gc()) 195M->195M(3959M) 5269.479ms
[622.524s][info][gc,metaspace] GC(118) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[622.525s][info][gc          ] GC(118) Pause Full (System.gc()) 195M->195M(3959M) 5260.634ms
[627.786s][info][gc,metaspace] GC(119) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[627.786s][info][gc          ] GC(119) Pause Full (System.gc()) 195M->195M(3959M) 5260.771ms
[633.046s][info][gc,metaspace] GC(120) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
